X1,X2,y
0.77,-1.14,0.0
-0.33,1.44,0.0
0.91,-3.07,0.0
-0.37,-1.91,0.0
-1.84,-1.13,0.0
-1.5,0.34,0.0
-0.63,-1.53,0.0
-1.08,-1.23,0.0
0.39,-1.99,0.0
-1.26,-2.9,0.0
-5.27,-0.78,0.0
-0.49,-2.74,0.0
1.48,-3.74,0.0
-1.64,-1.96,0.0
0.45,0.36,0.0
-1.48,-1.17,0.0
-2.94,-4.47,0.0
-2.19,-1.48,0.0
0.02,-0.02,0.0
-2.24,-2.12,0.0
-3.17,-3.69,0.0
-4.09,1.03,0.0
-2.41,-2.31,0.0
-3.45,-0.61,0.0
-3.96,-2.0,0.0
-2.95,-1.16,0.0
-2.42,-3.35,0.0
-1.74,-1.1,0.0
-1.61,-1.28,0.0
-2.59,-2.21,0.0
-2.64,-2.2,0.0
-2.84,-4.12,0.0
-1.45,-2.26,0.0
-3.98,-1.05,0.0
-2.97,-1.63,0.0
-0.68,-1.52,0.0
-0.1,-3.43,0.0
-1.14,-2.66,0.0
-2.92,-2.51,0.0
-2.14,-1.62,0.0
-3.33,-0.44,0.0
-1.05,-3.85,0.0
0.38,0.95,0.0
-0.05,-1.95,0.0
-3.2,-0.22,0.0
-2.26,0.01,0.0
-1.41,-0.33,0.0
-1.2,-0.71,0.0
-1.69,0.8,0.0
-1.52,-1.14,0.0
3.88,0.65,1.0
0.73,2.97,1.0
0.83,3.94,1.0
1.59,1.25,1.0
3.92,3.48,1.0
3.87,2.91,1.0
1.14,3.91,1.0
1.73,2.8,1.0
2.95,1.84,1.0
2.61,2.92,1.0
2.38,0.9,1.0
2.3,3.33,1.0
1.31,1.85,1.0
1.56,3.85,1.0
2.67,2.41,1.0
1.23,2.54,1.0
1.33,2.03,1.0
1.36,2.68,1.0
2.58,1.79,1.0
2.4,0.91,1.0
0.51,2.44,1.0
2.17,2.64,1.0
4.38,2.94,1.0
1.09,3.12,1.0
0.68,1.54,1.0
1.93,3.71,1.0
1.26,1.17,1.0
1.9,1.34,1.0
3.13,0.92,1.0
0.85,1.56,1.0
1.5,3.93,1.0
2.95,2.09,1.0
0.77,2.84,1.0
1.0,0.46,1.0
3.19,2.32,1.0
2.92,2.32,1.0
2.86,1.35,1.0
0.97,2.68,1.0
1.2,1.31,1.0
1.54,2.02,1.0
1.65,0.63,1.0
1.36,-0.22,1.0
2.63,0.4,1.0
0.9,2.05,1.0
1.26,3.54,1.0
0.71,2.27,1.0
1.96,0.83,1.0
2.52,1.83,1.0
2.77,2.82,1.0
4.16,3.34,1.0
